OG0000090	BalsamFir57845, BalsamFir82939		FraserFir101812, FraserFir104827, FraserFir105583, FraserFir120312, FraserFir123298, FraserFir124857, FraserFir130004, FraserFir134462, FraserFir138992, FraserFir146641, FraserFir152292, FraserFir164221, FraserFir173165, FraserFir176034, FraserFir182648, FraserFir184993, FraserFir195376, FraserFir203752, FraserFir204937, FraserFir71815, FraserFir77215, FraserFir93331, FraserFir97989, FraserFir98528
OG0000096	BalsamFir18421, BalsamFir18796, BalsamFir34347		FraserFir34035, FraserFir34527, FraserFir37451, FraserFir38222, FraserFir38500, FraserFir38726, FraserFir39713, FraserFir39724, FraserFir40283, FraserFir40892, FraserFir41314, FraserFir51709, FraserFir53322, FraserFir53509, FraserFir58708, FraserFir59308, FraserFir62005, FraserFir66832, FraserFir71812, FraserFir73807, FraserFir75760, FraserFir81527
OG0000128	BalsamFir77824		FraserFir102407, FraserFir113497, FraserFir126041, FraserFir126270, FraserFir128305, FraserFir137772, FraserFir138472, FraserFir139049, FraserFir156327, FraserFir159547, FraserFir160399, FraserFir168795, FraserFir172836, FraserFir177520, FraserFir182447, FraserFir195474, FraserFir199349, FraserFir33933, FraserFir43510, FraserFir63125, FraserFir68403, FraserFir90790, FraserFir97615
OG0000222	BalsamFir85884		FraserFir106351, FraserFir111011, FraserFir132086, FraserFir134579, FraserFir138549, FraserFir142297, FraserFir145059, FraserFir147237, FraserFir160564, FraserFir163354, FraserFir168197, FraserFir172100, FraserFir208718, FraserFir35586, FraserFir42564, FraserFir44115, FraserFir61672, FraserFir63928, FraserFir75118, FraserFir89168
OG0000306	BalsamFir101671, BalsamFir43264, BalsamFir43484, BalsamFir43932, BalsamFir44401, BalsamFir44823, BalsamFir46014, BalsamFir48353, BalsamFir50351, BalsamFir53739, BalsamFir55526, BalsamFir70519, BalsamFir73142, BalsamFir74973, BalsamFir78689, BalsamFir85580, BalsamFir95418, BalsamFir96857		FraserFir201463
OG0000322	BalsamFir76327		FraserFir107889, FraserFir119011, FraserFir124720, FraserFir128105, FraserFir139769, FraserFir145849, FraserFir147309, FraserFir149789, FraserFir155208, FraserFir167396, FraserFir176749, FraserFir181521, FraserFir182931, FraserFir207760, FraserFir207818, FraserFir2726, FraserFir29172, FraserFir77177
OG0000359	BalsamFir25086, BalsamFir28245, BalsamFir29122, BalsamFir30795, BalsamFir42227, BalsamFir46440, BalsamFir47394, BalsamFir52579, BalsamFir58497, BalsamFir58535, BalsamFir62918, BalsamFir66768, BalsamFir67490, BalsamFir82816		FraserFir101457, FraserFir101759, FraserFir144521, FraserFir76795
OG0000387	BalsamFir64279		FraserFir118020, FraserFir132329, FraserFir132340, FraserFir145409, FraserFir151046, FraserFir163864, FraserFir164213, FraserFir184569, FraserFir184991, FraserFir194883, FraserFir199443, FraserFir206409, FraserFir206591, FraserFir21915, FraserFir25485, FraserFir86653, FraserFir93943
OG0000415	BalsamFir15269, BalsamFir23286, BalsamFir4574, BalsamFir52920, BalsamFir54492, BalsamFir88274, BalsamFir89706, BalsamFir92096		FraserFir112936, FraserFir113917, FraserFir122184, FraserFir136810, FraserFir144796, FraserFir145373, FraserFir171963, FraserFir172775, FraserFir28117
OG0000439	BalsamFir101712, BalsamFir22529, BalsamFir23515, BalsamFir29253, BalsamFir30715, BalsamFir33705, BalsamFir41573, BalsamFir48282, BalsamFir49863, BalsamFir62329, BalsamFir68571, BalsamFir70393, BalsamFir94439, BalsamFir95759, BalsamFir96051		FraserFir145690, FraserFir180005
